,temp,temp,temp,rainfall,humidity
,mean,max,min,sum,mean
season,,,,,
Monsoon,31.024483043837883,39.5,24.0,6799.121,70.6923076923077
Post-Monsoon,23.097054009819967,30.7,15.3,309.254,62.68723404255319
Summer,29.058934517203106,39.1,15.6,874.803,44.126526082130965
Winter,15.020095693779904,24.7,6.5,763.604,75.65933014354067
