,temp,temp,temp,temp,rainfall,humidity
,mean,min,max,std,sum,mean
date,,,,,,
2013-12-31,26.825641025641026,10.5,38.5,6.8945876088503235,600.191,63.95641025641026
2014-12-31,24.615981735159817,8.5,37.6,8.016786878349448,285.808,62.22739726027397
2015-12-31,25.242201834862385,10.8,38.7,7.308833032083312,185.374,61.83990825688073
2016-12-31,25.909132420091325,10.2,37.1,7.091318421159383,371.419,62.13333333333334
2017-12-31,25.615000000000002,10.0,37.2,7.061730582002222,575.778,61.85
2018-12-31,25.63041095890411,10.9,38.2,7.3071980992318775,781.4259999999999,61.89780821917808
2019-12-31,25.138356164383563,6.5,39.0,7.87978757552739,634.072,64.91917808219178
2020-12-31,24.690983606557378,9.1,38.2,7.398937399809909,859.548,65.93743169398907
2021-12-31,25.04164383561644,10.0,37.7,6.853796375944379,1592.738,66.75808219178083
2022-12-31,25.673901098901098,9.0,37.8,7.634332713418533,890.542,62.7260989010989
2023-12-31,24.87917808219178,8.3,37.4,6.560014940980844,944.9110000000001,65.22164383561645
2024-12-31,26.382089552238806,9.3,39.5,7.499774954171219,1024.975,62.84059701492537
